"Timestamp","Were you interacting with the chatbot as a hospitality worker or as a guest of a hotel?","What kind of questions did you ask the bot","How easy was it to interact with the chatbot?","Assess the accuracy of the answers","Assess the response time","How effectively did the chatbot resolve your queries?","How relevant were the chatbot's responses to your queries?","Overall satisfaction","Did you feel that you communicated with a human or machine?","How old are you?","What is your gender?","What is your highest degree obtained?","What nationality do you feel belonging to?"
"2023/11/26 11:21:20 am CET","Hospitality worker","","Easy","Accurate","Very fast","Very effectively","Very relevant","Satisfied","","","","",""
"2023/11/26 11:22:30 am CET","Guest","","Very easy","Accurate","Very fast","Effectively","Relevant","Very satisfied","","","","",""
"2023/11/30 11:15:16 am CET","Guest","General questions such as prices, check in, check out time etc.","Very easy","Very accurate","Very fast","Very effectively","Relevant","Very satisfied","","24","Male","Mathematics","Montenegrin"
"2023/12/03 3:04:45 pm CET","Guest","More specific questions regarding my special needs in a hotel","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","","22","Male","IBWL","Ukraine"
"2023/12/03 9:56:02 pm CET","Guest","General questions such as prices, check in, check out time etc.","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","","23","Female","Cartography and GIS Master","Serbia"
"2023/12/04 2:40:24 pm CET","Guest","General questions which do not touch the hotel's internal information","Easy","Accurate","Fast","Effectively","Relevant","Satisfied","","24","Male","Bachelors in Oriental Studies ","Italian "
"2023/12/04 3:29:47 pm CET","Guest","General questions which do not touch the hotel's internal information","Very easy","Accurate","Neutral","Effectively","Relevant","Satisfied","","21","Male","Bachelor","Ukraine"
"2023/12/04 3:34:17 pm CET","Hospitality worker","General questions such as prices, check in, check out time etc.","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","","30","Male","Bachelor","Russia"
"2023/12/12 1:46:53 pm CET","Hospitality worker","Questions regarding the task schedule","Very easy","Accurate","Very fast","Effectively","Very relevant","Very satisfied","","23","Male","Bachelor","Russia"
"2023/12/12 1:54:20 pm CET","Guest","General questions such as prices, check in, check out time etc.","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","24","Male","High School","Montenegrin"
"2023/12/12 2:22:31 pm CET","Guest","More specific questions regarding my special needs in a hotel","Very easy","Accurate","Very fast","Effectively","Relevant","Satisfied","","19","Female","High School","Montenegro"
"2023/12/17 12:36:24 pm CET","Hospitality worker","General questions such as prices, check in, check out time etc.","Easy","Very accurate","Very fast","Effectively","Relevant","Satisfied","Machine","27","Female","Bachelor","Bulgaria"
"2023/12/17 12:38:01 pm CET","Hospitality worker","More specific questions regarding my special needs in a hotel","Very easy","Very accurate","Very fast","Effectively","Very relevant","Very satisfied","Machine","24","Female","High School","Russia"
"2023/12/17 12:44:33 pm CET","Hospitality worker","General questions which do not touch the hotel's internal information","Easy","Accurate","Neutral","Effectively","Relevant","Satisfied","Human","25","Male","Bachelor","Serbia"
"2023/12/17 12:46:08 pm CET","Guest","More specific questions regarding my special needs in a hotel","Very easy","Very accurate","Very fast","Very effectively","Relevant","Satisfied","Human","21","Male","High School","Ukraine"
"2023/12/17 12:48:45 pm CET","Guest","General questions such as prices, check in, check out time etc.","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","23","Female","High School","Belarus"
"2023/12/17 12:50:15 pm CET","Guest","General questions which do not touch the hotel's internal information","Neutral","Neutral","Very long","Ineffectively","Neutral","Neutral","Machine","22","Female","High School","Montenegro"
